Product_Category,Sub_Category,n_rows,MAE,RMSE,SMAPE,MedianAE,WAPE
Accessories,Bike Racks,408,83.98163993767521,115.07842351302988,107.4435759171109,62.73293286090268,13.584682607698356
Accessories,Bike Stands,408,74.64568521700731,102.46902216711722,121.61815839842862,59.43710972277938,18.398632019705662
Accessories,Bottles and Cages,408,104.21860640498623,134.44042220127457,14.234483285136918,83.68797115056213,6.20559793073252
Accessories,Cleaners,408,63.164853034695376,81.86063646778653,61.08672640276801,52.44757487509287,26.30579376751155
Accessories,Fenders,408,105.1518477464264,132.52720066504543,21.00848968771563,88.54472027293662,6.988199420208166
Accessories,Helmets,408,191.1047510369481,242.10828808987978,9.883305150914168,159.97210066941307,2.758287197454448
Accessories,Hydration Packs,408,117.48675073592752,148.8785895184935,56.862212973970784,99.73970906147804,9.814738571779838
Accessories,Tires and Tubes,408,177.71010095666676,222.8242493931951,10.501741425489968,153.24628137750756,3.2028154807165983
Bikes,Mountain Bikes,408,790.2258586537256,1706.294127477257,19.22779787962815,405.2558671181796,3.8804751613299713
Bikes,Road Bikes,408,1381.0716984814019,3238.712154211613,21.434840131765917,541.3161211414097,6.138518377248066
Bikes,Touring Bikes,408,332.4662491141621,447.71255767574064,26.148119769511663,265.950495388347,3.095415135770259
Clothing,Caps,408,87.75876688934056,112.32546139130595,26.008679661394822,69.3887370267073,13.244793310146576
Clothing,Gloves,408,104.42082191277144,130.78210868034736,32.99926549587454,90.25822912928822,9.930236892620737
Clothing,Jerseys,408,172.35111841318505,218.67276014386866,12.737506981831096,146.25917288834057,3.469617401192546
Clothing,Shorts,408,150.07798636288607,193.08858146231896,43.50410185330051,132.09656409148772,7.139546225650709
Clothing,Socks,408,51.091164182356145,70.35379839936603,85.0093664116496,40.25985670538387,28.7686590664955
Clothing,Vests,408,137.05000611712467,342.6174543343782,79.27147117774606,95.33590541280444,11.929214267291085
