Product_Category,Sub_Category,n_rows,MAE,RMSE,SMAPE,MedianAE,WAPE
Accessories,Bike Racks,408,40.59242109990148,70.8528623441805,104.75094538445605,23.034967768819392,6.566139424396006
Accessories,Bike Stands,408,33.79862069285262,80.08972598321351,117.88169452421988,16.524473209461437,8.330667514051067
Accessories,Bottles and Cages,408,52.698418067931364,78.75594150031219,10.50410029840964,36.67686431302741,3.1378772504828465
Accessories,Cleaners,408,30.69461679766489,45.53311849755693,45.67793173209066,22.33652329195121,12.783157412060339
Accessories,Fenders,408,60.505196657844714,83.73343508606489,16.454197337931532,44.489121853870685,4.021064672335262
Accessories,Helmets,408,183.223728362663,245.05367576148697,9.610012287621975,140.0207878592064,2.644537414534996
Accessories,Hydration Packs,408,69.22556195824617,124.76190023832646,52.92927783886996,46.280826047227094,5.783041822578582
Accessories,Tires and Tubes,408,158.37245065141568,217.45288266489564,9.62518163120613,121.79376540275757,2.854298849276247
Bikes,Mountain Bikes,408,1018.7755645594953,2015.0206147420738,20.1758940717446,511.86010432757485,5.002789050687568
Bikes,Road Bikes,408,1568.9924267604324,3260.673679810428,22.337195207317144,686.553848767534,6.973779026840042
Bikes,Touring Bikes,408,388.24992058199945,611.4236535624523,26.710838039090707,259.1217589560765,3.6147870162256694
Clothing,Caps,408,35.337273245072836,45.2822257514831,17.405853073550844,29.694478650021267,5.333198002489381
Clothing,Gloves,408,45.73467910659096,62.74150511448961,25.847870519399095,35.69997356843055,4.349287713094449
Clothing,Jerseys,408,170.6444769703155,232.05653854871719,12.049595572845194,126.89814993355594,3.435260833609498
Clothing,Shorts,408,127.45044337680638,203.33251039654905,41.59575022176477,85.29320785967172,6.063103283969787
Clothing,Socks,408,27.41910539441395,48.0065461075638,74.8095568218864,20.818124638781782,15.439282068123452
Clothing,Vests,408,157.62127146423404,1545.986937377323,75.67481653030981,43.56726879095184,13.719794501670984
