experiment,n_features,MAE,RMSE,WAPE,SMAPE
base_all,41,98.05383934606665,433.98483358390484,7.255021137953575,181.89737870437298
base_all_winsorized,41,98.18516278469039,496.88971549090456,7.932822218837811,181.88738134492542
base_diffs,36,104.90112654342425,484.70680413345656,7.761653144265332,181.9104357229881
base_calendar_plus_diffs,40,107.403222396912,530.3695032450108,7.946783664674349,181.95300034037268
base_outlier_flag,35,656.2094292136545,2463.140319800633,48.55305321668152,185.41001097430174
base_calendar_plus_outlier_flag,39,664.6073658876765,2542.4425027201078,49.174418055545104,185.557057956831
base,34,694.8584653623734,2603.1854516405324,51.41270232466655,185.54804761932786
base_calendar_plus,38,704.333513407943,2649.0116344316007,52.1137628268578,185.582945152821
