loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
31937722.0,2038.7572021484375,5651.3466796875,18375776.0,1330.7958984375,4286.69775390625,0.0010000000474974513
30828906.0,1970.0355224609375,5552.37841796875,17667848.0,1599.1038818359375,4203.31396484375,0.0010000000474974513
28952210.0,1863.6011962890625,5380.7255859375,16723084.0,1758.3123779296875,4089.38671875,0.0010000000474974513
26675360.0,1745.894287109375,5164.8193359375,15537479.0,1819.6727294921875,3941.760986328125,0.0010000000474974513
24154958.0,1621.70361328125,4914.76953125,13751753.0,1593.8673095703125,3708.335693359375,0.0010000000474974513
21570224.0,1492.7713623046875,4644.37548828125,12663802.0,1756.0615234375,3558.62353515625,0.0010000000474974513
19096336.0,1370.586181640625,4369.935546875,11006588.0,1502.5120849609375,3317.617919921875,0.0010000000474974513
16962644.0,1274.5250244140625,4118.5732421875,9864858.0,1437.7730712890625,3140.837158203125,0.0010000000474974513
15184192.0,1192.56396484375,3896.68994140625,9043917.0,1399.8072509765625,3007.310546875,0.0010000000474974513
13736139.0,1135.895751953125,3706.229736328125,8411089.0,1479.3553466796875,2900.187744140625,0.0010000000474974513
12458273.0,1088.3087158203125,3529.6279296875,7598182.5,1321.9888916015625,2756.47998046875,0.0010000000474974513
11371484.0,1040.8736572265625,3372.1630859375,7135660.5,1264.51025390625,2671.265625,0.0010000000474974513
10393470.0,1002.44775390625,3223.890625,7014757.5,1368.7568359375,2648.538818359375,0.0010000000474974513
9680755.0,981.9136352539062,3111.39111328125,6664162.0,1234.5816650390625,2581.50390625,0.0010000000474974513
9109932.0,955.4868774414062,3018.266357421875,6537556.5,1334.5604248046875,2556.864501953125,0.0010000000474974513
8689376.0,940.9588012695312,2947.774658203125,6514191.5,1307.8248291015625,2552.29150390625,0.0010000000474974513
8347531.0,932.7474975585938,2889.20947265625,6249950.5,1229.0469970703125,2499.989990234375,0.0010000000474974513
8143675.5,923.6307983398438,2853.712646484375,7227176.0,1735.3916015625,2688.3408203125,0.0010000000474974513
7878763.5,913.7759399414062,2806.91357421875,6280162.5,1285.4893798828125,2506.025146484375,0.0010000000474974513
7626074.5,906.048828125,2761.534912109375,6142464.0,1265.1064453125,2478.3994140625,0.0010000000474974513
7672455.0,907.2799682617188,2769.919677734375,6396507.0,1360.5606689453125,2529.131591796875,0.0010000000474974513
7491667.0,904.3626098632812,2737.091064453125,6267823.5,1273.4793701171875,2503.562255859375,0.0010000000474974513
7451385.0,898.7255859375,2729.722412109375,6406250.5,1374.082275390625,2531.05712890625,0.0010000000474974513
7331382.5,888.1181640625,2707.652587890625,6437784.5,1420.0540771484375,2537.279052734375,0.0005000000237487257
7251624.5,881.4957275390625,2692.884033203125,6153309.5,1265.9415283203125,2480.58642578125,0.0005000000237487257
