Product_Category,Sub_Category,n_rows,MAE,RMSE,SMAPE,MedianAE,WAPE
Accessories,Bike Racks,408,721.7909241830884,965.2180798087018,134.94092869138333,622.3238803785148,116.75528867287268
Accessories,Bike Stands,408,542.7977031544035,704.2400088983837,142.60173808771665,546.3198586409462,133.7885126574458
Accessories,Bottles and Cages,408,519.9130490420042,679.2832841495671,39.932718510326836,412.7889515140557,30.95772868770134
Accessories,Cleaners,408,157.44996260583213,205.30705786599347,81.5176082837821,132.81210748058933,65.57200794461406
Accessories,Fenders,408,690.8906297828984,867.9282471112048,57.70980161296239,637.1961430389986,45.915327233421706
Accessories,Helmets,408,1948.8290717087395,2610.798178289208,35.91574294729181,1542.4938011865274,28.128187548209986
Accessories,Hydration Packs,408,816.3374121761299,1067.626285870355,87.83045202789623,696.5244282068807,68.19610072356765
Accessories,Tires and Tubes,408,1605.8478917224697,2071.4261199019666,38.13362476164085,1437.0891355978615,28.94171158306289
Bikes,Mountain Bikes,408,10192.30655769685,12970.70655476993,62.495941397275246,8771.055273628264,50.05023817011577
Bikes,Road Bikes,408,11956.446636905903,15390.881946385502,66.44502672483267,10104.525852797975,53.14341571689305
Bikes,Touring Bikes,408,5572.68162903254,7315.8925112345605,66.97139604716328,4399.378752213969,51.88425323562084
Clothing,Caps,408,281.7494344972559,359.964465334325,52.34202375606139,228.02386714755494,42.52239585216985
Clothing,Gloves,408,537.0662468227771,683.9905634215108,66.17715590282042,459.92371495160444,51.074057456050404
Clothing,Jerseys,408,1815.2833279154115,2353.3106767737213,46.16881349220124,1522.8770017551533,36.54364810984711
Clothing,Shorts,408,1288.0450710927591,1672.4436384768474,81.70182082812055,1060.227433706767,61.275191309886026
Clothing,Socks,408,169.69585185828373,221.0318255745479,111.30403504271715,133.0187986014346,95.55315846170163
Clothing,Vests,408,1126.3146095883699,3089.9031063806106,110.98010743682588,925.1591030602821,98.03756082051797
