loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
31264360.0,2008.5660400390625,5591.4541015625,17451694.0,1710.8431396484375,4177.5224609375,0.0010000000474974513
25242296.0,1680.38037109375,5024.17138671875,12115025.0,1154.5882568359375,3480.66455078125,0.0010000000474974513
16018318.0,1253.5931396484375,4002.2890625,7682618.5,903.950439453125,2771.753662109375,0.0010000000474974513
10975782.0,1063.3533935546875,3312.9716796875,6266215.5,762.6840209960938,2503.240966796875,0.0010000000474974513
8989511.0,996.6604614257812,2998.251220703125,5880160.0,777.352294921875,2424.904052734375,0.0010000000474974513
8380380.5,971.3319702148438,2894.888671875,5787816.0,732.2767944335938,2405.7880859375,0.0010000000474974513
8173381.0,968.2847900390625,2858.91259765625,7169163.5,1638.817138671875,2677.529296875,0.0010000000474974513
7777191.0,956.0567626953125,2788.761474609375,5716697.5,722.2793579101562,2390.961669921875,0.0010000000474974513
7951574.0,960.9972534179688,2819.853515625,5828689.5,733.1771240234375,2414.267822265625,0.0010000000474974513
7902031.0,954.7567138671875,2811.05517578125,5862635.0,742.087646484375,2421.287841796875,0.0010000000474974513
7866542.0,953.6072387695312,2804.735595703125,5773867.5,761.0609741210938,2402.88720703125,0.0010000000474974513
7731860.5,943.2167358398438,2780.622314453125,5837504.5,807.9073486328125,2416.0927734375,0.0005000000237487257
7619545.0,932.5625610351562,2760.352294921875,6200593.5,722.0013427734375,2490.09912109375,0.0005000000237487257
