Product_Category,Sub_Category,n_rows,MAE,RMSE,SMAPE,MedianAE,WAPE
Accessories,Bike Racks,408,762.017442856673,996.5323029124501,136.55047603242264,652.9228798164777,123.26224053757602
Accessories,Bike Stands,408,538.0560313048044,722.3126182731811,142.8275168736381,479.23216585634543,132.61978769678197
Accessories,Bottles and Cages,408,532.5543977037363,703.5003026335853,40.47845500661758,405.6723619307437,31.710445786911755
Accessories,Cleaners,408,158.7886453510656,203.95893015130136,78.22960265831065,133.10123367594838,66.12951913199694
Accessories,Fenders,408,703.8389663009162,895.3086856815167,58.79258432810476,608.123424670493,46.775849988723905
Accessories,Helmets,408,1977.2226600818205,2547.5693355603867,36.782102939105954,1608.9079956670878,28.5380029550709
Accessories,Hydration Packs,408,833.709454486905,1097.8949005534562,89.93504482802963,687.1046576054395,69.64734567391434
Accessories,Tires and Tubes,408,1687.1087712873225,2181.2287462223635,39.30588323605452,1420.7383668280295,30.406251874503166
Bikes,Mountain Bikes,408,9197.121783764991,11884.176023506778,58.51356339458358,7482.235204459936,45.163293818844444
Bikes,Road Bikes,408,10952.742854959231,14496.450345356225,62.22405573281075,8870.997485750133,48.68220337174991
Bikes,Touring Bikes,408,5367.098678360182,6832.83391155824,66.96694948990928,4309.670723931598,49.970180517373244
Clothing,Caps,408,285.9365961856706,363.6196782059663,53.36451303604049,242.21603676858933,43.15433375518468
Clothing,Gloves,408,537.7173220958073,702.091037304605,66.42077826820604,438.6652569932086,51.13597357179902
Clothing,Jerseys,408,1885.5333908917005,2415.163139527758,47.453018478014044,1545.1586196261487,37.957859071641245
Clothing,Shorts,408,1385.102424868567,1795.9208374570644,83.6760688442748,1179.3136063539496,65.89242719247697
Clothing,Socks,408,165.67128804345987,206.19023717041983,107.97147912321697,141.44171837679664,93.28698766420771
Clothing,Vests,408,1091.4041201129896,3147.010633497194,111.44018765070356,856.8627408890071,94.9988545779811
